2020-07-07 10:34:08.163 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-07-07 10:34:08.615 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-07-07 10:34:08.697 [main] INFO  org.coral.net.core.HandlerProcessor - The initialization message is complete and takes [12] milliseconds.
2020-07-07 10:34:08.715 [main] INFO  org.coral.net.core.base.executor.DispatchExecutor - End to init DispatchExecutor, initWorkers:16, cost time:2
2020-07-07 10:34:08.715 [main] INFO  org.coral.net.core.base.ServerHandler - End to init DispatchExecutor, initWorkers:16, cost time:3
2020-07-07 10:34:08.988 [main] INFO  org.coral.net.core.base.ServerHandler - End to init DisruptorExecutorGroup, initWorkers:16, cost time:276
2020-07-07 10:34:08.990 [main] INFO  o.coral.net.core.base.executor3.DispatchExecutor3 - End to init DispatchExecutor, initWorkers:16, cost time:0
2020-07-07 10:34:19.982 [main] INFO  org.coral.net.network.EchoServer - Netty server listening 127.0.0.1 on port 5001 and ready for connections...
2020-07-07 10:34:19.988 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-07-07 10:34:19.989 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskAsyncPool'
2020-07-07 10:34:21.824 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-07-07 10:34:21.981 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-07 10:34:22.129 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-07 10:34:22.379 [main] INFO  org.coral.server.App - Started App in 16.834 seconds (JVM running for 17.181)
2020-07-07 10:35:08.798 [main] INFO  org.coral.server.App - Starting App on DESKTOP-I6VTE4Q with PID 18648 (E:\server\jeremy\workspace\coral\coral-server\target\classes started by Jereme in E:\server\jeremy\workspace\coral\coral-server)
2020-07-07 10:35:08.803 [main] INFO  org.coral.server.App - The following profiles are active: dev
2020-07-07 10:35:11.491 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-07 10:35:11.507 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-07 10:35:11.507 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-07 10:35:11.508 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-07 10:35:11.631 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-07 10:35:11.631 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2756 ms
2020-07-07 10:35:12.029 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-07-07 10:35:12.560 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-07-07 10:35:12.671 [main] INFO  org.coral.net.core.HandlerProcessor - The initialization message is complete and takes [14] milliseconds.
2020-07-07 10:35:12.690 [main] INFO  org.coral.net.core.base.executor.DispatchExecutor - End to init DispatchExecutor, initWorkers:16, cost time:4
2020-07-07 10:35:12.690 [main] INFO  org.coral.net.core.base.ServerHandler - End to init DispatchExecutor, initWorkers:16, cost time:4
2020-07-07 10:35:12.918 [main] INFO  org.coral.net.core.base.ServerHandler - End to init DisruptorExecutorGroup, initWorkers:16, cost time:227
2020-07-07 10:35:12.920 [main] INFO  o.coral.net.core.base.executor3.DispatchExecutor3 - End to init DispatchExecutor, initWorkers:16, cost time:0
2020-07-07 10:35:24.584 [main] INFO  org.coral.net.network.EchoServer - Netty server listening 127.0.0.1 on port 5001 and ready for connections...
2020-07-07 10:35:24.608 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-07-07 10:35:24.610 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskAsyncPool'
2020-07-07 10:35:31.697 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-07-07 10:35:31.869 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-07 10:35:31.966 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-07 10:35:32.086 [main] INFO  org.coral.server.App - Started App in 23.919 seconds (JVM running for 24.705)
2020-07-07 10:36:13.166 [main] INFO  org.coral.server.App - Starting App on DESKTOP-I6VTE4Q with PID 31848 (E:\server\jeremy\workspace\coral\coral-server\target\classes started by Jereme in E:\server\jeremy\workspace\coral\coral-server)
2020-07-07 10:36:13.168 [main] INFO  org.coral.server.App - The following profiles are active: dev
2020-07-07 10:36:15.156 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-07 10:36:15.168 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-07 10:36:15.169 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-07 10:36:15.169 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-07 10:36:15.264 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-07 10:36:15.264 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2051 ms
2020-07-07 10:36:15.565 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-07-07 10:36:16.102 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-07-07 10:36:16.199 [main] INFO  org.coral.net.core.HandlerProcessor - The initialization message is complete and takes [13] milliseconds.
2020-07-07 10:36:16.279 [main] INFO  org.coral.net.core.base.ServerHandler - End to init DisruptorExecutorGroup, initWorkers:16, cost time:59
2020-07-07 10:36:16.281 [main] INFO  o.coral.net.core.base.executor3.DispatchExecutor3 - End to init DispatchExecutor, initWorkers:16, cost time:0
2020-07-07 10:36:17.252 [main] INFO  org.coral.net.network.EchoServer - Netty server listening 127.0.0.1 on port 5001 and ready for connections...
2020-07-07 10:36:17.256 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-07-07 10:36:17.257 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskAsyncPool'
2020-07-07 10:36:17.635 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-07-07 10:36:17.668 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-07 10:36:17.688 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-07 10:36:17.703 [main] INFO  org.coral.server.App - Started App in 4.95 seconds (JVM running for 5.336)
2020-07-07 10:37:33.694 [main] INFO  org.coral.server.App - Starting App on DESKTOP-I6VTE4Q with PID 8936 (E:\server\jeremy\workspace\coral\coral-server\target\classes started by Jereme in E:\server\jeremy\workspace\coral\coral-server)
2020-07-07 10:37:33.699 [main] INFO  org.coral.server.App - The following profiles are active: dev
2020-07-07 10:37:36.159 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-07 10:37:36.174 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-07 10:37:36.175 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-07 10:37:36.175 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-07 10:37:36.289 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-07 10:37:36.289 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2527 ms
2020-07-07 10:37:36.658 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-07-07 10:37:37.122 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-07-07 10:37:37.231 [main] INFO  org.coral.net.core.HandlerProcessor - The initialization message is complete and takes [13] milliseconds.
2020-07-07 10:37:37.252 [main] INFO  org.coral.net.core.base.executor.DispatchExecutor - End to init DispatchExecutor, initWorkers:16, cost time:4
2020-07-07 10:37:37.252 [main] INFO  org.coral.net.core.base.ServerHandler - End to init DispatchExecutor, initWorkers:16, cost time:4
2020-07-07 10:37:37.255 [main] INFO  o.coral.net.core.base.executor3.DispatchExecutor3 - End to init DispatchExecutor, initWorkers:16, cost time:0
2020-07-07 10:37:53.179 [main] INFO  org.coral.net.network.EchoServer - Netty server listening 127.0.0.1 on port 5001 and ready for connections...
2020-07-07 10:37:53.193 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-07-07 10:37:53.194 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskAsyncPool'
2020-07-07 10:37:55.435 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-07-07 10:37:55.627 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-07 10:37:55.743 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-07 10:37:55.841 [main] INFO  org.coral.server.App - Started App in 22.778 seconds (JVM running for 23.567)
2020-07-07 10:50:32.031 [main] INFO  org.coral.server.App - Starting App on DESKTOP-I6VTE4Q with PID 8696 (E:\server\jeremy\workspace\coral\coral-server\target\classes started by Jereme in E:\server\jeremy\workspace\coral\coral-server)
2020-07-07 10:50:32.033 [main] INFO  org.coral.server.App - The following profiles are active: dev
2020-07-07 10:50:33.861 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-07 10:50:33.872 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-07 10:50:33.873 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-07 10:50:33.873 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-07 10:50:33.958 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-07 10:50:33.958 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1882 ms
2020-07-07 10:50:34.220 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-07-07 10:50:34.770 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-07-07 10:50:34.876 [main] INFO  org.coral.net.core.HandlerProcessor - The initialization message is complete and takes [12] milliseconds.
2020-07-07 10:50:34.954 [main] INFO  org.coral.net.core.base.ServerHandler - End to init DisruptorExecutorGroup, initWorkers:16, cost time:57
2020-07-07 10:50:34.957 [main] INFO  o.coral.net.core.base.executor3.DispatchExecutor3 - End to init DispatchExecutor, initWorkers:16, cost time:0
2020-07-07 10:50:35.901 [main] INFO  org.coral.net.network.EchoServer - Netty server listening 127.0.0.1 on port 5001 and ready for connections...
2020-07-07 10:50:35.905 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-07-07 10:50:35.906 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskAsyncPool'
2020-07-07 10:50:36.292 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-07-07 10:50:36.320 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-07 10:50:36.337 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-07 10:50:36.348 [main] INFO  org.coral.server.App - Started App in 4.728 seconds (JVM running for 5.096)
